id,client_id,departure_id,arrival_id,dep_time,estimate_arr_time,price
31,2133,145,9,2018-08-04 05:26:00,2018-08-04 06:10:00,20.08
32,681,46,34,2018-08-04 05:28:00,2018-08-04 05:58:00,15.24
33,2849,115,148,2018-08-04 05:51:00,2018-08-04 06:38:00,15.55
34,1564,48,114,2018-08-04 05:25:00,2018-08-04 05:40:00,2.75
35,1630,170,162,2018-08-04 05:35:00,2018-08-04 05:55:00,9.12
36,2391,91,102,2018-08-04 05:57:00,2018-08-04 06:15:00,2.23
37,1350,115,68,2018-08-04 05:01:00,2018-08-04 05:56:00,25.01
38,697,149,105,2018-08-04 05:55:00,2018-08-04 06:50:00,22.32
39,2657,29,110,2018-08-04 05:15:00,2018-08-04 05:48:00,17.05
40,1510,144,49,2018-08-04 06:23:00,2018-08-04 06:46:00,12.58
41,1683,85,80,2018-08-04 06:26:00,2018-08-04 06:35:00,4.9
42,2374,168,69,2018-08-04 06:11:00,2018-08-04 07:08:00,25.91
43,1669,129,101,2018-08-04 07:33:00,2018-08-04 07:54:00,9.22
44,7,36,148,2018-08-04 07:40:00,2018-08-04 07:58:00,6.67
45,621,37,56,2018-08-04 07:41:00,2018-08-04 08:23:00,11.98
46,2087,4,33,2018-08-04 07:20:00,2018-08-04 07:30:00,4.24
47,1551,7,110,2018-08-04 07:10:00,2018-08-04 08:02:00,16.84
48,2248,107,122,2018-08-04 07:21:00,2018-08-04 08:06:00,27.01
49,1482,39,17,2018-08-04 07:14:00,2018-08-04 07:43:00,15.39
50,2898,1,80,2018-08-04 07:01:00,2018-08-04 07:47:00,21.58
51,380,39,74,2018-08-04 07:34:00,2018-08-04 08:31:00,35.48
52,575,116,88,2018-08-04 07:02:00,2018-08-04 07:53:00,13.22
53,507,88,116,2018-08-04 07:34:00,2018-08-04 08:23:00,19.63
54,1829,105,103,2018-08-04 07:36:00,2018-08-04 07:45:00,2.76
55,1268,29,143,2018-08-04 07:42:00,2018-08-04 08:36:00,25.49
56,220,21,118,2018-08-04 07:42:00,2018-08-04 08:15:00,17.04
57,2176,153,30,2018-08-04 07:48:00,2018-08-04 08:40:00,8.15
58,1736,133,80,2018-08-04 07:02:00,2018-08-04 08:02:00,8.36
59,2728,48,91,2018-08-04 07:01:00,2018-08-04 07:36:00,8.0
60,2867,52,95,2018-08-04 07:13:00,2018-08-04 07:37:00,12.92
61,2904,79,73,2018-08-04 07:30:00,2018-08-04 07:31:00,2.0
62,962,96,111,2018-08-04 07:53:00,2018-08-04 08:20:00,13.57
63,2953,96,90,2018-08-04 07:43:00,2018-08-04 08:00:00,10.07
64,844,75,1,2018-08-04 07:16:00,2018-08-04 08:01:00,27.58
65,38,102,98,2018-08-04 07:19:00,2018-08-04 08:16:00,25.75
66,2820,40,45,2018-08-04 07:30:00,2018-08-04 07:54:00,12.81
67,1383,89,154,2018-08-04 07:51:00,2018-08-04 07:55:00,2.0
68,2373,27,39,2018-08-04 07:28:00,2018-08-04 08:01:00,13.3
69,930,10,161,2018-08-04 07:27:00,2018-08-04 08:25:00,29.99
70,1325,72,137,2018-08-04 07:59:00,2018-08-04 08:16:00,3.92
71,300,171,115,2018-08-04 07:50:00,2018-08-04 08:02:00,7.15
72,2061,126,103,2018-08-04 07:18:00,2018-08-04 08:07:00,5.9
73,1321,122,11,2018-08-04 07:52:00,2018-08-04 08:44:00,29.21
74,2809,84,160,2018-08-04 07:18:00,2018-08-04 07:34:00,8.06
75,2245,165,101,2018-08-04 07:47:00,2018-08-04 07:48:00,2.0
76,437,74,164,2018-08-04 07:42:00,2018-08-04 08:30:00,24.36
77,2060,152,38,2018-08-04 07:55:00,2018-08-04 08:55:00,30.23
78,2404,118,85,2018-08-04 07:54:00,2018-08-04 08:15:00,5.62
79,997,80,51,2018-08-04 07:19:00,2018-08-04 07:48:00,12.95
80,2116,147,12,2018-08-04 07:24:00,2018-08-04 08:15:00,30.41
81,372,166,101,2018-08-04 07:07:00,2018-08-04 07:46:00,19.37
82,592,157,167,2018-08-04 07:09:00,2018-08-04 07:13:00,2.0
83,269,117,130,2018-08-04 07:36:00,2018-08-04 08:07:00,15.58
84,1742,83,132,2018-08-04 07:52:00,2018-08-04 08:00:00,3.55
85,2770,151,55,2018-08-04 07:29:00,2018-08-04 08:04:00,12.28
86,644,60,116,2018-08-04 07:59:00,2018-08-04 08:47:00,7.93
87,580,114,113,2018-08-04 07:19:00,2018-08-04 07:27:00,3.27
88,1382,150,63,2018-08-04 07:35:00,2018-08-04 08:21:00,25.53
89,372,105,129,2018-08-04 07:31:00,2018-08-04 08:04:00,16.99
90,756,140,107,2018-08-04 07:09:00,2018-08-04 07:51:00,10.26
91,137,38,96,2018-08-04 07:15:00,2018-08-04 07:42:00,14.87
92,1704,80,143,2018-08-04 07:06:00,2018-08-04 07:39:00,6.68
93,2923,12,163,2018-08-04 07:55:00,2018-08-04 07:59:00,2.0
94,557,113,85,2018-08-04 07:09:00,2018-08-04 07:52:00,19.99
95,1279,161,78,2018-08-04 07:45:00,2018-08-04 08:11:00,11.21
96,2908,27,38,2018-08-04 07:22:00,2018-08-04 07:38:00,3.23
97,2096,67,101,2018-08-04 07:38:00,2018-08-04 08:04:00,11.59
98,1243,83,69,2018-08-04 07:28:00,2018-08-04 08:06:00,23.6
99,863,68,27,2018-08-04 07:31:00,2018-08-04 08:26:00,30.18
100,2936,125,22,2018-08-04 08:09:00,2018-08-04 08:16:00,4.02
101,1952,55,123,2018-08-04 08:40:00,2018-08-04 09:29:00,24.5
102,2984,113,88,2018-08-04 08:45:00,2018-08-04 09:05:00,10.34
103,249,168,55,2018-08-04 08:54:00,2018-08-04 09:38:00,26.58
104,2511,70,166,2018-08-04 08:12:00,2018-08-04 09:06:00,29.09
105,2232,120,164,2018-08-04 08:52:00,2018-08-04 09:46:00,17.08
106,1007,40,155,2018-08-04 08:47:00,2018-08-04 09:37:00,5.52
107,2576,167,35,2018-08-04 08:14:00,2018-08-04 09:02:00,24.16
108,1177,21,159,2018-08-04 08:46:00,2018-08-04 09:44:00,18.34
109,1624,1,17,2018-08-04 08:30:00,2018-08-04 09:24:00,26.25
110,2506,6,169,2018-08-04 08:58:00,2018-08-04 09:27:00,13.88
111,267,19,65,2018-08-04 08:16:00,2018-08-04 08:17:00,2.0
112,948,83,24,2018-08-04 08:18:00,2018-08-04 09:07:00,22.82
113,1320,44,93,2018-08-04 08:03:00,2018-08-04 08:18:00,3.7
114,1788,2,123,2018-08-04 08:32:00,2018-08-04 09:03:00,7.66
115,2099,100,43,2018-08-04 08:10:00,2018-08-04 08:55:00,27.36
116,2199,19,21,2018-08-04 08:11:00,2018-08-04 08:32:00,13.03
117,901,25,146,2018-08-04 08:59:00,2018-08-04 09:55:00,24.93
118,2511,75,136,2018-08-04 08:56:00,2018-08-04 09:00:00,2.48
119,164,27,148,2018-08-04 08:24:00,2018-08-04 08:58:00,11.23
120,939,45,159,2018-08-04 08:11:00,2018-08-04 08:40:00,12.78
121,818,43,19,2018-08-04 08:35:00,2018-08-04 08:43:00,3.34
122,1099,5,134,2018-08-04 08:53:00,2018-08-04 09:17:00,2.43
123,901,37,113,2018-08-04 08:15:00,2018-08-04 08:55:00,7.11
124,2489,77,27,2018-08-04 08:29:00,2018-08-04 09:13:00,15.22
125,2969,131,160,2018-08-04 08:48:00,2018-08-04 09:47:00,14.49
126,2744,171,149,2018-08-04 08:52:00,2018-08-04 09:31:00,13.28
127,2563,38,1,2018-08-04 08:23:00,2018-08-04 08:47:00,12.6
128,593,38,74,2018-08-04 08:05:00,2018-08-04 08:31:00,14.88
129,670,81,58,2018-08-04 08:26:00,2018-08-04 08:38:00,2.48
130,1067,150,167,2018-08-04 08:15:00,2018-08-04 09:10:00,6.44
131,939,3,74,2018-08-04 08:17:00,2018-08-04 08:23:00,3.53
132,1996,137,104,2018-08-04 08:45:00,2018-08-04 09:31:00,19.54
133,85,129,87,2018-08-04 08:24:00,2018-08-04 09:23:00,10.68
134,2880,130,26,2018-08-04 08:29:00,2018-08-04 09:06:00,19.64
135,2929,118,84,2018-08-04 08:45:00,2018-08-04 09:39:00,25.12
136,727,116,64,2018-08-04 08:40:00,2018-08-04 08:59:00,2.64
137,1520,149,117,2018-08-04 08:11:00,2018-08-04 08:34:00,5.61
138,845,110,145,2018-08-04 08:12:00,2018-08-04 08:36:00,12.8
139,2545,139,57,2018-08-04 08:30:00,2018-08-04 08:33:00,2.0
140,186,102,33,2018-08-04 08:05:00,2018-08-04 08:36:00,16.3
141,2695,161,34,2018-08-04 08:38:00,2018-08-04 09:31:00,19.82
142,2661,134,48,2018-08-04 08:32:00,2018-08-04 09:14:00,17.84
143,1342,123,85,2018-08-04 08:05:00,2018-08-04 08:30:00,11.65
144,2704,24,1,2018-08-04 08:46:00,2018-08-04 09:15:00,15.49
145,1263,146,168,2018-08-04 08:59:00,2018-08-04 09:26:00,11.23
146,2613,130,91,2018-08-04 08:53:00,2018-08-04 09:47:00,31.92
147,2729,133,97,2018-08-04 08:39:00,2018-08-04 09:21:00,20.16
148,4,71,66,2018-08-04 08:07:00,2018-08-04 08:23:00,5.44
149,2516,36,55,2018-08-04 08:54:00,2018-08-04 09:27:00,18.86
150,2856,115,70,2018-08-04 08:44:00,2018-08-04 09:44:00,33.49
151,2463,161,121,2018-08-04 08:47:00,2018-08-04 09:28:00,6.66
152,446,50,29,2018-08-04 08:05:00,2018-08-04 08:59:00,23.99
153,1386,79,36,2018-08-04 08:09:00,2018-08-04 09:08:00,33.11
154,1567,82,107,2018-08-04 08:10:00,2018-08-04 08:54:00,11.65
155,2745,52,9,2018-08-04 08:27:00,2018-08-04 09:06:00,7.08
156,43,133,159,2018-08-04 08:34:00,2018-08-04 09:22:00,22.69
157,1992,124,27,2018-08-04 08:21:00,2018-08-04 08:51:00,12.97
158,1737,142,36,2018-08-04 08:59:00,2018-08-04 09:27:00,12.02
159,1382,61,116,2018-08-04 08:13:00,2018-08-04 08:52:00,16.62
160,3000,142,168,2018-08-04 08:35:00,2018-08-04 09:18:00,19.45
161,827,104,9,2018-08-04 08:05:00,2018-08-04 08:22:00,10.42
162,814,151,28,2018-08-04 08:50:00,2018-08-04 09:09:00,11.32
163,1339,92,169,2018-08-04 08:47:00,2018-08-04 09:19:00,14.13
164,2070,152,47,2018-08-04 08:57:00,2018-08-04 09:45:00,25.87
165,1333,17,169,2018-08-04 08:29:00,2018-08-04 09:22:00,26.12
166,296,159,158,2018-08-04 08:07:00,2018-08-04 08:48:00,14.9
167,237,94,33,2018-08-04 08:54:00,2018-08-04 09:42:00,18.26
168,1722,150,29,2018-08-04 08:37:00,2018-08-04 08:44:00,3.37
169,888,70,155,2018-08-04 08:25:00,2018-08-04 08:44:00,7.93
170,2590,63,22,2018-08-04 08:33:00,2018-08-04 09:03:00,14.32
171,822,98,136,2018-08-04 08:03:00,2018-08-04 08:18:00,7.62
172,851,87,88,2018-08-04 08:07:00,2018-08-04 08:33:00,10.48
173,2006,79,141,2018-08-04 08:49:00,2018-08-04 09:10:00,5.17
174,449,57,52,2018-08-04 08:44:00,2018-08-04 09:04:00,6.09
175,2531,36,44,2018-08-04 08:54:00,2018-08-04 09:16:00,5.32
176,114,70,47,2018-08-04 08:37:00,2018-08-04 09:15:00,22.12
177,702,20,118,2018-08-04 08:05:00,2018-08-04 08:56:00,27.12
178,2660,34,131,2018-08-04 08:23:00,2018-08-04 08:39:00,8.77
179,783,118,70,2018-08-04 08:58:00,2018-08-04 09:03:00,2.35
180,761,126,28,2018-08-04 08:13:00,2018-08-04 08:58:00,24.51
181,2156,30,89,2018-08-04 08:16:00,2018-08-04 08:37:00,10.66
182,980,75,149,2018-08-04 08:28:00,2018-08-04 09:03:00,18.16
183,2228,136,108,2018-08-04 08:33:00,2018-08-04 09:21:00,21.92
184,418,30,49,2018-08-04 08:27:00,2018-08-04 09:14:00,28.52
185,1387,101,62,2018-08-04 08:55:00,2018-08-04 09:12:00,4.48
186,1474,63,72,2018-08-04 08:24:00,2018-08-04 08:34:00,3.2
187,1963,165,170,2018-08-04 08:35:00,2018-08-04 08:59:00,10.58
188,662,94,18,2018-08-04 08:52:00,2018-08-04 09:45:00,29.93
189,2169,77,21,2018-08-04 08:00:00,2018-08-04 08:04:00,2.09
190,1239,121,61,2018-08-04 08:14:00,2018-08-04 08:35:00,8.98
191,719,41,132,2018-08-04 08:03:00,2018-08-04 08:08:00,2.75
192,466,17,141,2018-08-04 08:16:00,2018-08-04 08:30:00,3.06
193,529,134,85,2018-08-04 08:57:00,2018-08-04 09:42:00,27.31
194,293,109,22,2018-08-04 08:08:00,2018-08-04 09:01:00,21.92
195,218,21,38,2018-08-04 08:18:00,2018-08-04 09:01:00,18.85
196,2643,65,59,2018-08-04 08:20:00,2018-08-04 08:31:00,5.66
197,2727,125,131,2018-08-04 08:37:00,2018-08-04 09:08:00,19.08
198,459,139,150,2018-08-04 08:56:00,2018-08-04 09:40:00,19.61
199,924,133,51,2018-08-04 08:35:00,2018-08-04 09:34:00,19.44
200,2946,43,39,2018-08-04 08:43:00,2018-08-04 09:36:00,27.72
201,356,95,55,2018-08-04 08:48:00,2018-08-04 08:56:00,2.0
202,510,123,93,2018-08-04 08:05:00,2018-08-04 08:19:00,5.91
203,92,55,134,2018-08-04 08:45:00,2018-08-04 09:04:00,10.64
204,1352,42,76,2018-08-04 08:43:00,2018-08-04 09:23:00,18.07
205,698,9,136,2018-08-04 08:59:00,2018-08-04 09:58:00,31.16
206,2151,89,19,2018-08-04 08:59:00,2018-08-04 09:17:00,9.77
207,96,123,131,2018-08-04 08:39:00,2018-08-04 09:24:00,9.86
208,1744,37,49,2018-08-04 08:22:00,2018-08-04 09:04:00,22.3
209,2515,45,35,2018-08-04 08:26:00,2018-08-04 09:02:00,16.6
210,2805,99,161,2018-08-04 08:51:00,2018-08-04 08:54:00,2.0
211,796,78,142,2018-08-04 08:49:00,2018-08-04 09:00:00,3.26
212,1947,35,11,2018-08-04 09:51:00,2018-08-04 10:25:00,3.88
213,749,22,130,2018-08-04 09:15:00,2018-08-04 09:53:00,9.59
214,193,165,141,2018-08-04 09:16:00,2018-08-04 10:12:00,31.1
215,1387,167,54,2018-08-04 09:29:00,2018-08-04 10:12:00,7.52
216,2580,38,127,2018-08-04 09:44:00,2018-08-04 10:13:00,6.11
217,942,59,106,2018-08-04 09:39:00,2018-08-04 10:39:00,24.16
218,254,16,145,2018-08-04 09:29:00,2018-08-04 10:12:00,16.49
219,1643,6,130,2018-08-04 09:01:00,2018-08-04 09:31:00,7.15
220,2785,49,106,2018-08-04 09:36:00,2018-08-04 10:24:00,26.12
221,1555,24,141,2018-08-04 09:27:00,2018-08-04 10:04:00,22.25
222,1416,48,115,2018-08-04 09:19:00,2018-08-04 09:50:00,16.92
223,523,166,146,2018-08-04 09:08:00,2018-08-04 09:51:00,15.2
224,2057,37,39,2018-08-04 09:48:00,2018-08-04 10:34:00,21.44
225,707,112,96,2018-08-04 09:56:00,2018-08-04 10:31:00,10.6
226,2395,168,132,2018-08-04 09:04:00,2018-08-04 09:08:00,2.47
227,1938,153,3,2018-08-04 09:52:00,2018-08-04 10:46:00,23.98
228,1282,8,162,2018-08-04 09:09:00,2018-08-04 09:37:00,14.93
229,926,30,41,2018-08-04 10:32:00,2018-08-04 11:30:00,10.6
230,2080,81,105,2018-08-04 10:10:00,2018-08-04 10:58:00,29.42
231,895,135,169,2018-08-04 10:34:00,2018-08-04 10:45:00,5.83
232,555,88,35,2018-08-04 10:41:00,2018-08-04 11:34:00,21.6
233,2070,81,72,2018-08-04 10:59:00,2018-08-04 11:48:00,17.32
234,2589,27,116,2018-08-04 10:22:00,2018-08-04 10:59:00,5.71
235,1936,37,83,2018-08-04 10:18:00,2018-08-04 11:02:00,11.94
236,2687,111,66,2018-08-04 10:17:00,2018-08-04 10:53:00,18.74
237,1554,40,113,2018-08-04 10:20:00,2018-08-04 10:41:00,7.55
238,1367,93,105,2018-08-04 10:12:00,2018-08-04 10:51:00,4.11
239,953,81,78,2018-08-04 10:23:00,2018-08-04 10:42:00,6.95
240,1555,138,78,2018-08-04 10:31:00,2018-08-04 10:48:00,9.09
241,1165,133,31,2018-08-04 10:49:00,2018-08-04 11:41:00,24.82
242,1042,21,14,2018-08-04 10:49:00,2018-08-04 10:54:00,2.0
243,894,118,117,2018-08-04 10:17:00,2018-08-04 10:43:00,8.11
244,2271,49,153,2018-08-04 10:58:00,2018-08-04 11:38:00,6.64
245,363,138,118,2018-08-04 10:10:00,2018-08-04 11:05:00,21.48
246,1831,97,90,2018-08-04 10:58:00,2018-08-04 11:50:00,23.55
247,1448,75,143,2018-08-04 10:06:00,2018-08-04 10:21:00,7.19
248,833,17,171,2018-08-04 10:38:00,2018-08-04 10:59:00,3.28
249,2227,78,16,2018-08-04 10:23:00,2018-08-04 11:23:00,10.76
250,366,118,58,2018-08-04 10:25:00,2018-08-04 10:35:00,4.55
251,249,124,4,2018-08-04 10:14:00,2018-08-04 10:27:00,6.08
252,2510,156,52,2018-08-04 10:01:00,2018-08-04 10:52:00,13.63
253,1187,156,88,2018-08-04 10:54:00,2018-08-04 11:47:00,30.89
254,2821,45,27,2018-08-04 10:00:00,2018-08-04 10:40:00,20.41
255,1226,138,5,2018-08-04 10:17:00,2018-08-04 10:59:00,20.76
256,2140,148,126,2018-08-04 10:10:00,2018-08-04 10:59:00,16.63
257,112,88,46,2018-08-04 10:28:00,2018-08-04 11:28:00,27.43
258,2035,37,48,2018-08-04 10:01:00,2018-08-04 10:07:00,2.07
259,584,16,19,2018-08-04 10:10:00,2018-08-04 10:32:00,9.82
260,303,82,115,2018-08-04 10:56:00,2018-08-04 11:41:00,21.27
261,2502,54,68,2018-08-04 10:30:00,2018-08-04 11:09:00,20.31
262,1367,117,94,2018-08-04 10:10:00,2018-08-04 10:46:00,14.94
263,849,142,58,2018-08-04 10:34:00,2018-08-04 11:02:00,6.41
264,168,62,164,2018-08-04 10:08:00,2018-08-04 10:50:00,15.0
265,430,147,32,2018-08-04 11:45:00,2018-08-04 12:32:00,22.45
266,2945,137,79,2018-08-04 11:57:00,2018-08-04 12:48:00,28.68
267,304,171,22,2018-08-04 11:40:00,2018-08-04 12:40:00,29.05
268,2467,149,86,2018-08-04 11:20:00,2018-08-04 11:38:00,8.8
269,646,117,91,2018-08-04 11:16:00,2018-08-04 12:12:00,25.8
270,350,122,78,2018-08-04 11:01:00,2018-08-04 11:12:00,5.22
271,2090,171,8,2018-08-04 11:00:00,2018-08-04 11:32:00,3.31
272,213,14,42,2018-08-04 11:58:00,2018-08-04 12:58:00,27.99
273,726,67,59,2018-08-04 11:00:00,2018-08-04 11:35:00,17.45
274,2425,126,2,2018-08-04 11:05:00,2018-08-04 11:36:00,18.24
275,559,168,137,2018-08-04 11:53:00,2018-08-04 12:39:00,14.93
276,910,160,30,2018-08-04 11:21:00,2018-08-04 11:46:00,11.84
277,1581,29,141,2018-08-04 11:40:00,2018-08-04 12:20:00,9.45
278,1849,78,34,2018-08-04 11:52:00,2018-08-04 12:11:00,2.81
279,2172,157,79,2018-08-04 11:19:00,2018-08-04 11:22:00,2.0
280,1850,29,2,2018-08-04 11:22:00,2018-08-04 11:53:00,9.09
281,1746,99,44,2018-08-04 11:50:00,2018-08-04 11:58:00,4.84
282,1567,72,42,2018-08-04 11:16:00,2018-08-04 11:48:00,9.29
283,1584,106,108,2018-08-04 11:19:00,2018-08-04 11:21:00,2.0
284,2791,127,55,2018-08-04 11:09:00,2018-08-04 11:36:00,6.29
285,209,153,17,2018-08-04 11:37:00,2018-08-04 11:53:00,3.32
286,2595,164,143,2018-08-04 11:56:00,2018-08-04 12:42:00,22.21
287,2350,24,28,2018-08-04 11:38:00,2018-08-04 11:46:00,2.0
288,2931,81,62,2018-08-04 11:47:00,2018-08-04 12:12:00,6.96
289,1500,129,10,2018-08-04 11:17:00,2018-08-04 12:13:00,21.61
290,2295,121,159,2018-08-04 11:59:00,2018-08-04 12:23:00,13.24
291,2354,49,52,2018-08-04 11:56:00,2018-08-04 12:22:00,16.03
292,1110,12,51,2018-08-04 11:18:00,2018-08-04 11:48:00,6.58
293,1201,152,139,2018-08-04 11:14:00,2018-08-04 11:56:00,22.53
294,2342,67,99,2018-08-04 11:26:00,2018-08-04 12:14:00,6.7
295,2342,99,86,2018-08-04 11:25:00,2018-08-04 11:58:00,19.75
296,1501,65,13,2018-08-04 11:27:00,2018-08-04 11:44:00,4.3
297,1544,15,12,2018-08-04 11:26:00,2018-08-04 12:23:00,26.89
298,2248,164,67,2018-08-04 11:15:00,2018-08-04 12:13:00,6.43
299,2774,30,112,2018-08-04 11:35:00,2018-08-04 12:22:00,8.12
300,770,11,150,2018-08-04 11:08:00,2018-08-04 11:17:00,4.14
301,28,76,71,2018-08-04 11:13:00,2018-08-04 11:30:00,8.44
302,1198,164,118,2018-08-04 12:22:00,2018-08-04 12:46:00,10.02
303,163,95,134,2018-08-04 12:11:00,2018-08-04 13:08:00,17.5
304,1855,65,139,2018-08-04 12:16:00,2018-08-04 12:29:00,6.22
305,1546,168,73,2018-08-04 12:00:00,2018-08-04 12:25:00,14.22
306,2996,79,113,2018-08-04 12:42:00,2018-08-04 13:13:00,10.26
307,950,153,161,2018-08-04 12:00:00,2018-08-04 12:51:00,14.43
308,28,51,150,2018-08-04 12:04:00,2018-08-04 12:58:00,31.11
309,129,77,152,2018-08-04 12:26:00,2018-08-04 12:42:00,3.11
310,1681,5,129,2018-08-04 12:24:00,2018-08-04 12:25:00,2.0
311,2482,158,66,2018-08-04 12:52:00,2018-08-04 13:37:00,10.48
312,2984,76,73,2018-08-04 12:54:00,2018-08-04 13:39:00,13.94
313,1060,110,57,2018-08-04 12:25:00,2018-08-04 12:38:00,6.34
314,86,70,9,2018-08-04 12:29:00,2018-08-04 12:46:00,7.54
315,837,91,147,2018-08-04 12:41:00,2018-08-04 12:57:00,6.69
316,1884,136,15,2018-08-04 12:13:00,2018-08-04 12:58:00,25.9
317,2010,39,131,2018-08-04 12:57:00,2018-08-04 13:27:00,14.47
318,1575,101,136,2018-08-04 12:29:00,2018-08-04 13:03:00,15.11
319,41,61,104,2018-08-04 12:47:00,2018-08-04 13:23:00,17.98
320,1107,29,78,2018-08-04 12:01:00,2018-08-04 12:45:00,20.08
321,927,45,36,2018-08-04 12:09:00,2018-08-04 12:32:00,12.6
322,1308,26,90,2018-08-04 12:39:00,2018-08-04 13:27:00,6.45
323,495,107,157,2018-08-04 12:02:00,2018-08-04 12:28:00,3.32
324,477,50,56,2018-08-04 12:33:00,2018-08-04 12:54:00,10.17
325,1565,91,168,2018-08-04 12:04:00,2018-08-04 12:57:00,5.56
326,1033,59,123,2018-08-04 12:47:00,2018-08-04 13:36:00,23.0
327,2677,92,43,2018-08-04 12:00:00,2018-08-04 12:01:00,2.0
328,2365,2,16,2018-08-04 12:01:00,2018-08-04 12:16:00,3.22
329,1179,157,142,2018-08-04 12:46:00,2018-08-04 12:51:00,2.0
330,2672,49,137,2018-08-04 12:01:00,2018-08-04 12:07:00,2.0
331,1818,170,115,2018-08-04 12:21:00,2018-08-04 12:42:00,2.91
332,1465,29,121,2018-08-04 12:55:00,2018-08-04 13:27:00,12.95
333,1469,28,32,2018-08-04 12:07:00,2018-08-04 12:44:00,5.11
334,1459,88,101,2018-08-04 12:31:00,2018-08-04 13:20:00,14.24
335,1648,6,163,2018-08-04 12:16:00,2018-08-04 12:51:00,15.85
336,2021,37,15,2018-08-04 12:12:00,2018-08-04 12:43:00,13.5
337,2200,4,171,2018-08-04 12:33:00,2018-08-04 13:19:00,22.36
338,153,67,13,2018-08-04 12:40:00,2018-08-04 13:02:00,9.91
339,194,152,52,2018-08-04 12:12:00,2018-08-04 12:25:00,6.89
340,2666,39,14,2018-08-04 12:07:00,2018-08-04 13:05:00,10.69
341,1226,71,131,2018-08-04 12:29:00,2018-08-04 13:16:00,26.14
342,2794,156,18,2018-08-04 12:59:00,2018-08-04 13:10:00,5.79
343,72,127,145,2018-08-04 12:29:00,2018-08-04 13:18:00,20.75
344,726,5,108,2018-08-04 12:04:00,2018-08-04 12:39:00,10.53
345,1244,125,121,2018-08-04 12:32:00,2018-08-04 12:55:00,12.47
346,248,12,58,2018-08-04 12:40:00,2018-08-04 13:32:00,29.31
347,2814,79,156,2018-08-04 12:08:00,2018-08-04 12:30:00,2.84
348,1812,5,81,2018-08-04 12:57:00,2018-08-04 13:36:00,8.18
349,2438,114,156,2018-08-04 12:37:00,2018-08-04 12:57:00,8.29
350,331,86,63,2018-08-04 12:02:00,2018-08-04 12:22:00,9.35
351,1577,33,107,2018-08-04 12:05:00,2018-08-04 13:01:00,20.31
352,378,71,63,2018-08-04 12:59:00,2018-08-04 13:19:00,10.03
353,716,9,137,2018-08-04 12:32:00,2018-08-04 12:41:00,4.66
354,825,5,75,2018-08-04 12:34:00,2018-08-04 13:14:00,15.77
355,739,56,53,2018-08-04 12:41:00,2018-08-04 13:30:00,21.65
356,2552,92,129,2018-08-04 12:14:00,2018-08-04 13:11:00,33.35
357,1436,79,64,2018-08-04 12:09:00,2018-08-04 12:40:00,4.36
358,2770,159,32,2018-08-04 12:30:00,2018-08-04 13:17:00,13.99
359,2857,28,99,2018-08-04 12:12:00,2018-08-04 12:35:00,6.5
360,2869,101,80,2018-08-04 12:30:00,2018-08-04 13:25:00,29.35
